0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:38 +0900] "GET /webpro/webproject/images/music/music3.png HTTP/1.1" 200 968264
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:38 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 7190706
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:38 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 4095510
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:38 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 4399366
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/css/mystyle.css HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/images/logo.png HTTP/1.1" 200 121125
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/sing.html HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/css/style.css HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/images/music/music1.jpg HTTP/1.1" 200 101697
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/images/music/music2.jpg HTTP/1.1" 200 71013
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/images/music/music3.png HTTP/1.1" 200 968264
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 7190706
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 4095510
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 4399366
0:0:0:0:0:0:0:1 - - [06/May/2023:01:44:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:16 +0900] "GET /webpro/webproject/movie.html HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:16 +0900] "GET /webpro/webproject/css/moviestyle.css HTTP/1.1" 200 1244
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:16 +0900] "GET /webpro/webproject/images/movie/movie1.jpg HTTP/1.1" 200 498922
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:16 +0900] "GET /webpro/webproject/images/movie/movie2.jpeg HTTP/1.1" 200 398407
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:16 +0900] "GET /webpro/webproject/media/m1.mp4 HTTP/1.1" 206 4180596
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:16 +0900] "GET /webpro/webproject/images/movie/movie3.jpg HTTP/1.1" 200 540498
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:21 +0900] "GET /webpro/webproject/furniture.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:21 +0900] "GET /webpro/webproject/images/furniture/fur1.png HTTP/1.1" 200 615761
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:21 +0900] "GET /webpro/webproject/images/furniture/fur21.png HTTP/1.1" 200 323374
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:21 +0900] "GET /webpro/webproject/images/furniture/fur3.png HTTP/1.1" 200 468733
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:23 +0900] "GET /webpro/webproject/stationary.html HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:23 +0900] "GET /webpro/webproject/images/stationary/sta1.png HTTP/1.1" 200 2360085
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:23 +0900] "GET /webpro/webproject/images/stationary/sta2.png HTTP/1.1" 200 2415542
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:23 +0900] "GET /webpro/webproject/images/stationary/sta3.png HTTP/1.1" 200 1908094
0:0:0:0:0:0:0:1 - - [06/May/2023:01:45:24 +0900] "GET /webpro/webproject/shopcart.html HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [06/May/2023:02:29:52 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2023:02:29:52 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 6535346
0:0:0:0:0:0:0:1 - - [06/May/2023:02:29:52 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 4133420
0:0:0:0:0:0:0:1 - - [06/May/2023:02:29:52 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 3636758
0:0:0:0:0:0:0:1 - - [06/May/2023:02:29:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:11 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 4438194
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:11 +0900] "GET /webpro/webproject/media/summer.mp3 HTTP/1.1" 206 1277462
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:11 +0900] "GET /webpro/webproject/media/My%20Favorite%20Part.mp3 HTTP/1.1" 206 1511980
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/main.html HTTP/1.1" 200 2005
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/css/mystyle.css HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/images/logo.png HTTP/1.1" 200 121125
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/sing.html HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/css/style.css HTTP/1.1" 200 1113
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/images/music/music1.jpg HTTP/1.1" 200 101697
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/images/music/music2.jpg HTTP/1.1" 200 71013
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/images/music/music3.png HTTP/1.1" 200 968264
0:0:0:0:0:0:0:1 - - [06/May/2023:02:30:19 +0900] "GET /webpro/webproject/media/Champagne%20Supernova.mp3 HTTP/1.1" 206 7190706
